"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"44","ATP7B","HRAS",0.0637893361148171,5.30588723114029,2654,37,2,27,0.48652883477403,"Co_Occurence","ATP7B, HRAS","2/64"
"45","POLK","KMT2D",0.065923825393167,5.19735877178828,2654,34,2,30,0.489581780485353,"Co_Occurence","KMT2D, POLK","2/64"
"46","CDKN2A","CTRC",0.06636553024357,3.52692327212796,2598,23,3,96,0.489581780485353,"Co_Occurence","CDKN2A, CTRC","3/119"
"47","ERBB2","KRAS",0.0694785410722408,0.381727113928251,2246,413,4,57,0.504279733588845,"Mutually_Exclusive","ERBB2, KRAS","4/470"
"48","ATP7B","BRCA2",0.0757427174755593,4.78132673925493,2650,41,2,27,0.541019410539709,"Co_Occurence","ATP7B, BRCA2","2/68"
"49","ATP7B","CFTR",0.0788369293370226,4.66658178488781,2649,42,2,27,0.554322159400941,"Co_Occurence","ATP7B, CFTR","2/69"
"50","PIK3CA","CFTR",0.081245331896584,0.199068050782682,2396,43,1,280,0.562467682360967,"Mutually_Exclusive","CFTR, PIK3CA","1/323"
"51","NRAS","MAP3K1",0.0836537841600873,4.49221739447326,2649,31,2,38,0.570366710182415,"Co_Occurence","MAP3K1, NRAS","2/69"
"52","CDKN2A","APC",0.0876796072178889,0.20212045409307,2495,126,1,98,0.574860358428605,"Mutually_Exclusive","APC, CDKN2A","1/224"
"53","CDKN2A","KRAS",0.087733274834536,0.542505981640715,2213,408,9,90,0.574860358428605,"Mutually_Exclusive","CDKN2A, KRAS","9/498"
"54","FBXW7","KRAS",0.0889406448706866,2.00941625863245,2278,408,9,25,0.574860358428605,"Co_Occurence","FBXW7, KRAS","9/433"
"55","CDKN2A","GJB2",0.0894227224222273,2.52292885398216,2578,43,4,95,0.574860358428605,"Co_Occurence","CDKN2A, GJB2","4/138"
"56","PIK3CA","APC",0.0982087998448791,1.56489233828035,2331,108,19,262,0.62245013986191,"Co_Occurence","APC, PIK3CA","19/370"
"57","FBXW7","NF1",0.0996558152987337,4.02786017496438,2645,41,2,32,0.622848845617087,"Co_Occurence","FBXW7, NF1","2/73"
"58","PTEN","TP53",0.102808761993925,0.603346369712894,1726,933,15,46,0.633752642428307,"Mutually_Exclusive","PTEN, TP53","15/979"
"59","MAP3K1","ROS1",0.11008133260705,3.78433719054226,2642,45,2,31,0.669413509096928,"Co_Occurence","MAP3K1, ROS1","2/76"
"60","G6PD","SMAD4",0.111743362305706,3.76379749378168,2637,56,2,25,0.670460173834236,"Co_Occurence","G6PD, SMAD4","2/81"
"61","ATP7B","KRAS",0.113449586569231,0.195378808179625,2275,416,1,28,0.67174097310729,"Mutually_Exclusive","ATP7B, KRAS","1/444"
"62","PTEN","G6PD",0.121516889538931,3.56819896480259,2634,25,2,59,0.709934655415635,"Co_Occurence","G6PD, PTEN","2/84"
"63","ERCC2","BRAF",0.123055340272043,2.60763903048146,2603,73,3,41,0.709934655415635,"Co_Occurence","BRAF, ERCC2","3/114"
"64","PIK3CA","TP53",0.12826934715578,0.806917807113771,1577,862,86,195,0.716937102844741,"Mutually_Exclusive","PIK3CA, TP53","86/1057"
"65","KRAS","BRCA1",0.128811071797232,0.558061036997066,2225,78,8,409,0.716937102844741,"Mutually_Exclusive","BRCA1, KRAS","8/487"
"66","PTEN","MSH6",0.129048678512053,3.42998671064588,2633,26,2,59,0.716937102844741,"Co_Occurence","MSH6, PTEN","2/85"
"67","CFTR","KRAS",0.139598652181884,0.39988402731842,2262,414,3,41,0.757654281028065,"Mutually_Exclusive","CFTR, KRAS","3/455"
"68","NF1","KRAS",0.139745122945176,0.410060373973478,2263,414,3,40,0.757654281028065,"Mutually_Exclusive","KRAS, NF1","3/454"
"69","BRAF","GJB2",0.142193097341471,2.42714353195504,2600,44,3,73,0.761748735757879,"Co_Occurence","BRAF, GJB2","3/117"
"70","TP53","NF1",0.145407578184025,0.561909070587766,1739,33,10,938,0.769399622240498,"Mutually_Exclusive","NF1, TP53","10/971"
"71","APC","CFTR",0.14704081669485,2.07491964143452,2553,40,4,123,0.769399622240498,"Co_Occurence","APC, CFTR","4/163"
"72","APC","ATP7B",0.150862081647475,2.38751094251087,2567,26,3,124,0.771037499504447,"Co_Occurence","APC, ATP7B","3/150"
"73","ROS1","NRAS",0.150943627417994,3.07960478747731,2635,38,2,45,0.771037499504447,"Co_Occurence","NRAS, ROS1","2/83"
"74","CFTR","BRCA2",0.152494083235324,3.05817271794784,2635,41,2,42,0.771037499504447,"Co_Occurence","BRCA2, CFTR","2/83"
"75","PTEN","ERBB2",0.155300414347867,2.31848696106219,2601,58,3,58,0.776502071739333,"Co_Occurence","ERBB2, PTEN","3/116"
"76","ROS1","NF1",0.169290625274844,2.85125043602374,2632,41,2,45,0.837151443666812,"Co_Occurence","NF1, ROS1","2/86"
"77","ROS1","CFTR",0.175491960085045,2.78237486851807,2631,42,2,45,0.858384587372504,"Co_Occurence","CFTR, ROS1","2/87"
"78","PIK3CA","CDKN2A",0.179601362023126,0.550478909411464,2346,93,6,275,0.869038848499,"Mutually_Exclusive","CDKN2A, PIK3CA","6/368"
"79","MSH6","BRAF",0.183272815686356,2.71964227479056,2618,74,2,26,0.877369862328303,"Co_Occurence","BRAF, MSH6","2/100"
"80","BRCA1","APC",0.185835838742083,0.234243761376498,2508,126,1,85,0.880275025620393,"Mutually_Exclusive","APC, BRCA1","1/211"
"81","PIK3CA","G6PD",0.190890886442136,1.98966673216589,2417,22,5,276,0.893109153925151,"Co_Occurence","G6PD, PIK3CA","5/298"
"82","KMT2D","PTEN",0.192514639846088,2.61550461742197,2625,59,2,34,0.893109153925151,"Co_Occurence","KMT2D, PTEN","2/93"
"83","PIK3CA","MSH6",0.202289824817518,1.90248743692011,2416,23,5,276,0.928881848651869,"Co_Occurence","MSH6, PIK3CA","5/299"
"84","BRCA1","PIK3CA",0.206436093959437,0.52747361608241,2358,276,5,81,0.938345881633806,"Mutually_Exclusive","BRCA1, PIK3CA","5/357"
"85","G6PD","BRCA1",0.209389178714413,2.483380481814,2609,84,2,25,0.94225130421486,"Co_Occurence","BRCA1, G6PD","2/109"
"86","POLK","KRAS",0.215249970891241,0.36523427119189,2273,415,2,30,0.949236647449463,"Mutually_Exclusive","KRAS, POLK","2/445"
"87","ERBB2","ATM",0.217308757934625,2.40096867336102,2622,37,2,59,0.949236647449463,"Co_Occurence","ATM, ERBB2","2/96"
"88","PTEN","ATM",0.217308757934625,2.40096867336102,2622,37,2,59,0.949236647449463,"Co_Occurence","ATM, PTEN","2/96"
"89","SMAD4","BRAF",0.219379136299431,1.93386904833088,2589,73,3,55,0.949236647449463,"Co_Occurence","BRAF, SMAD4","3/128"
"90","ROS1","KRAS",0.224985980672149,0.509140778698979,2260,413,4,43,0.964225631452069,"Mutually_Exclusive","KRAS, ROS1","4/456"
"91","ERCC2","CTNNB1",0.228940111800255,2.31109488727227,2622,54,2,42,0.97191556896335,"Co_Occurence","CTNNB1, ERCC2","2/96"
"92","SMAD4","BRCA2",0.233048532750032,2.2820674989688,2621,41,2,56,0.977907266375523,"Co_Occurence","BRCA2, SMAD4","2/97"
"93","IDH1","MSH6",0.244769811215582,3.79408405921274,2666,27,1,26,0.977907266375523,"Co_Occurence","IDH1, MSH6","1/53"
"94","FBXW7","BRAF",0.245378975481097,2.20518110211319,2612,74,2,32,0.977907266375523,"Co_Occurence","BRAF, FBXW7","2/106"
"95","PIK3CA","POLK",0.246632329491607,0.277499604439692,2408,31,1,280,0.977907266375523,"Mutually_Exclusive","PIK3CA, POLK","1/311"
"96","PIK3CA","MAP3K1",0.247855802566998,0.26871716127928,2407,32,1,280,0.977907266375523,"Mutually_Exclusive","MAP3K1, PIK3CA","1/312"
"97","ERBB2","NF1",0.250778355143647,2.16365732617986,2618,41,2,59,0.977907266375523,"Co_Occurence","ERBB2, NF1","2/100"
"98","RB1","PIK3CA",0.255090147677059,0.252701952115341,2405,280,1,34,0.977907266375523,"Mutually_Exclusive","PIK3CA, RB1","1/314"
"99","APC","HRAS",0.258847927751134,0,2554,39,0,127,0.977907266375523,"Mutually_Exclusive","APC, HRAS","0/166"
"100","CFTR","PTEN",0.259184177320366,2.11131130664824,2617,59,2,42,0.977907266375523,"Co_Occurence","CFTR, PTEN","2/101"
"101","MSH6","ATP7B",0.260395803675936,3.52046453324053,2664,28,1,27,0.977907266375523,"Co_Occurence","ATP7B, MSH6","1/55"
"102","ATM","KRAS",0.26082380846599,0.456423541575317,2267,414,3,36,0.977907266375523,"Mutually_Exclusive","ATM, KRAS","3/450"
"103","BRAF","APC",0.262373786232126,0.266530998277799,2518,126,1,75,0.977907266375523,"Mutually_Exclusive","APC, BRAF","1/201"
"104","ERBB2","BRCA1",0.262804383546333,0,2573,86,0,61,0.977907266375523,"Mutually_Exclusive","BRCA1, ERBB2","0/147"
"105","SMAD4","ROS1",0.264975986865289,2.07618774505167,2617,45,2,56,0.977907266375523,"Co_Occurence","ROS1, SMAD4","2/101"
"106","POLK","CTRC",0.265912721725735,3.43318660212375,2663,25,1,31,0.977907266375523,"Co_Occurence","CTRC, POLK","1/56"
"107","APC","ERCC2",0.266935316480025,0,2549,44,0,127,0.977907266375523,"Mutually_Exclusive","APC, ERCC2","0/171"
"108","CDKN2A","CTNNB1",0.267294652809309,0,2565,56,0,99,0.977907266375523,"Mutually_Exclusive","CDKN2A, CTNNB1","0/155"
"109","G6PD","POLK",0.274632392440201,3.30003759526667,2662,31,1,26,0.996649811274928,"Co_Occurence","G6PD, POLK","1/57"
"110","ERBB2","TP53",0.27852903643349,0.717200557265069,1728,931,17,44,1,"Mutually_Exclusive","ERBB2, TP53","17/975"
"111","IDH1","MAP3K1",0.281918450998281,3.19580991627068,2661,32,1,26,1,"Co_Occurence","IDH1, MAP3K1","1/58"
"112","CDKN2A","ATP7B",0.285030619170508,1.98022869712624,2594,27,2,97,1,"Co_Occurence","ATP7B, CDKN2A","2/124"
"113","ATP7B","POLK",0.291771727553216,3.06223259714689,2660,31,1,28,1,"Co_Occurence","ATP7B, POLK","1/59"
"114","ATM","BRAF",0.297807212013712,1.9037233681086,2607,74,2,37,1,"Co_Occurence","ATM, BRAF","2/111"
"115","MSH6","FBXW7",0.298108922179638,2.98215228288852,2659,33,1,27,1,"Co_Occurence","FBXW7, MSH6","1/60"
"116","ATP7B","MAP3K1",0.299412583171132,2.96552797157148,2659,32,1,28,1,"Co_Occurence","ATP7B, MAP3K1","1/60"
"117","ATP7B","FBXW7",0.306973816921797,2.87467727736415,2658,33,1,28,1,"Co_Occurence","ATP7B, FBXW7","1/61"
"118","CTRC","ATM",0.31424969045527,2.79398466410435,2656,38,1,25,1,"Co_Occurence","ATM, CTRC","1/63"
"119","KMT2D","ATP7B",0.321860612545995,2.70844688373279,2656,28,1,35,1,"Co_Occurence","ATP7B, KMT2D","1/63"
"120","ATM","G6PD",0.324177033466496,2.6855396955283,2655,26,1,38,1,"Co_Occurence","ATM, G6PD","1/64"
"121","IDH1","NRAS",0.330983158082835,2.61578623380538,2654,39,1,26,1,"Co_Occurence","IDH1, NRAS","1/65"
"122","BRCA2","BRAF",0.339425714882659,1.71544339542514,2603,74,2,41,1,"Co_Occurence","BRAF, BRCA2","2/115"
"123","BRCA2","CTRC",0.34048096950259,2.52434606247473,2652,25,1,42,1,"Co_Occurence","BRCA2, CTRC","1/67"
"124","NF1","CTRC",0.34048096950259,2.52434606247473,2652,25,1,42,1,"Co_Occurence","CTRC, NF1","1/67"
"125","BRAF","PIK3CA",0.341619527428871,0.604298059494603,2368,276,5,71,1,"Mutually_Exclusive","BRAF, PIK3CA","5/347"
"126","ATP7B","ATM",0.343613400822571,2.49209840015367,2653,38,1,28,1,"Co_Occurence","ATM, ATP7B","1/66"
"127","CFTR","BRAF",0.349729066054593,1.67397707515701,2602,74,2,42,1,"Co_Occurence","BRAF, CFTR","2/116"
"128","KMT2D","KRAS",0.350067210333519,0.498565790327771,2270,414,3,33,1,"Mutually_Exclusive","KMT2D, KRAS","3/447"
"129","NRAS","ATP7B",0.350713442365333,2.42717434490159,2652,28,1,39,1,"Co_Occurence","ATP7B, NRAS","1/67"
"130","G6PD","BRCA2",0.351007813716172,2.42627574040728,2651,42,1,26,1,"Co_Occurence","BRCA2, G6PD","1/68"
"131","IDH1","BRCA2",0.351007813716172,2.42627574040728,2651,42,1,26,1,"Co_Occurence","BRCA2, IDH1","1/68"
"132","ATM","BRCA1",0.351156888185945,1.67076221465515,2597,84,2,37,1,"Co_Occurence","ATM, BRCA1","2/121"
"133","TP53","ROS1",0.355179901038782,0.710811007729784,1738,34,13,935,1,"Mutually_Exclusive","ROS1, TP53","13/969"
"134","IDH1","CFTR",0.357553495086983,2.3691003228664,2650,43,1,26,1,"Co_Occurence","CFTR, IDH1","1/69"
"135","ERBB2","CTNNB1",0.35937475071343,1.63489569607991,2605,54,2,59,1,"Co_Occurence","CTNNB1, ERBB2","2/113"
"136","BRCA2","MSH6",0.361370481376849,2.33572445822924,2650,27,1,42,1,"Co_Occurence","BRCA2, MSH6","1/69"
"137","MAP3K1","TP53",0.362803249864475,1.38273269771052,1753,934,14,19,1,"Co_Occurence","MAP3K1, TP53","14/953"
"138","MSH6","CFTR",0.368050207384115,2.28060654348165,2649,43,1,27,1,"Co_Occurence","CFTR, MSH6","1/70"
"139","BRCA1","CDKN2A",0.372168944939242,0.304523445467555,2536,98,1,85,1,"Mutually_Exclusive","BRCA1, CDKN2A","1/183"
"140","RB1","KMT2D",0.374552204887086,2.22580336200116,2650,35,1,34,1,"Co_Occurence","KMT2D, RB1","1/69"
"141","ERBB2","SMAD4",0.375710985662753,1.57532124647664,2603,56,2,59,1,"Co_Occurence","ERBB2, SMAD4","2/115"
"142","GJB2","G6PD",0.376811324546262,2.21235814539591,2647,26,1,46,1,"Co_Occurence","G6PD, GJB2","1/72"
"143","POLK","NRAS",0.379249337656833,2.19020774546712,2649,39,1,31,1,"Co_Occurence","NRAS, POLK","1/70"
"144","GJB2","MSH6",0.387687621518533,2.12958261725855,2646,27,1,46,1,"Co_Occurence","GJB2, MSH6","1/73"
"145","BRCA2","KRAS",0.39137892921166,0.56234021218761,2264,413,4,39,1,"Mutually_Exclusive","BRCA2, KRAS","4/452"
"146","ATM","RB1",0.398711374368759,2.04809455038092,2647,34,1,38,1,"Co_Occurence","ATM, RB1","1/72"
"147","HRAS","RB1",0.398711374368759,2.04809455038092,2647,34,1,38,1,"Co_Occurence","HRAS, RB1","1/72"
"148","CDKN2A","ATM",0.400531239912418,0,2582,39,0,99,1,"Mutually_Exclusive","ATM, CDKN2A","0/138"
"149","CFTR","BRCA1",0.401177276602675,0,2590,86,0,44,1,"Mutually_Exclusive","BRCA1, CFTR","0/130"
"150","CTNNB1","BRAF",0.405883141629499,0,2588,76,0,56,1,"Mutually_Exclusive","BRAF, CTNNB1","0/132"
"151","KMT2D","HRAS",0.407445175634911,1.98876888484321,2646,38,1,35,1,"Co_Occurence","HRAS, KMT2D","1/73"
"152","ERCC2","POLK",0.408386359921392,1.98354720493837,2645,31,1,43,1,"Co_Occurence","ERCC2, POLK","1/74"
"153","MAP3K1","NF1",0.410807397883024,1.96732475392153,2645,42,1,32,1,"Co_Occurence","MAP3K1, NF1","1/74"
"154","CTRC","KRAS",0.412514260034064,0.45773306582684,2279,415,2,24,1,"Mutually_Exclusive","CTRC, KRAS","2/439"
"155","IDH1","KRAS",0.416868211149645,0.439230101949083,2278,415,2,25,1,"Mutually_Exclusive","IDH1, KRAS","2/440"
"156","CFTR","MAP3K1",0.418070511767918,1.92088633945626,2644,32,1,43,1,"Co_Occurence","CFTR, MAP3K1","1/75"
"157","BRCA2","FBXW7",0.420236233718911,1.90704134568806,2644,33,1,42,1,"Co_Occurence","BRCA2, FBXW7","1/75"
"158","BRCA2","TP53",0.420324144347436,0.720098930948514,1741,936,12,31,1,"Mutually_Exclusive","BRCA2, TP53","12/967"
"159","MSH6","KRAS",0.424120291375882,1.5133349995871,2281,411,6,22,1,"Co_Occurence","KRAS, MSH6","6/433"
"160","FBXW7","ERCC2",0.427599688352291,1.86204706753878,2643,43,1,33,1,"Co_Occurence","ERCC2, FBXW7","1/76"
"161","NRAS","PIK3CA",0.428188309198548,0.453030364357223,2401,279,2,38,1,"Mutually_Exclusive","NRAS, PIK3CA","2/317"
"162","GJB2","POLK",0.429365129305284,1.85222382903688,2642,31,1,46,1,"Co_Occurence","GJB2, POLK","1/77"
"163","RB1","CFTR",0.436976312966029,1.80650771566092,2642,43,1,34,1,"Co_Occurence","CFTR, RB1","1/77"
"164","RB1","ERCC2",0.436976312966029,1.80650771566092,2642,43,1,34,1,"Co_Occurence","ERCC2, RB1","1/77"
"165","KMT2D","BRCA2",0.438653850953468,1.79670126602802,2642,42,1,35,1,"Co_Occurence","BRCA2, KMT2D","1/77"
"166","NRAS","ATM",0.441160789709626,1.78219094299788,2642,38,1,39,1,"Co_Occurence","ATM, NRAS","1/77"
"167","MSH6","CTNNB1",0.443133045291567,1.77526074991178,2637,55,1,27,1,"Co_Occurence","CTNNB1, MSH6","1/82"
"168","PTEN","CTRC",0.447048247761186,1.75552036844443,2634,25,1,60,1,"Co_Occurence","CTRC, PTEN","1/85"
"169","FBXW7","ROS1",0.449149555114832,1.73866434628592,2640,46,1,33,1,"Co_Occurence","FBXW7, ROS1","1/79"
"170","APC","BRCA2",0.451186515086657,1.54383269797799,2553,40,3,124,1,"Co_Occurence","APC, BRCA2","3/164"
"171","SMAD4","MSH6",0.454779614476786,1.71170672589389,2635,27,1,57,1,"Co_Occurence","MSH6, SMAD4","1/84"
"172","GJB2","RB1",0.458788412489963,1.6869150737188,2639,34,1,46,1,"Co_Occurence","GJB2, RB1","1/80"
"173","TP53","POLK",0.462326960268592,0.72893166048083,1749,23,9,939,1,"Mutually_Exclusive","POLK, TP53","9/962"
"174","BRCA2","ATM",0.465213410438825,1.65310855775342,2639,38,1,42,1,"Co_Occurence","ATM, BRCA2","1/80"
"175","CDKN2A","SMAD4",0.467846804454289,1.45769559067432,2566,55,3,96,1,"Co_Occurence","CDKN2A, SMAD4","3/151"
