"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"201","RB1","SMAD4",0.531960648340655,1.35585994972111,2628,57,1,34,1,"Co_Occurence","RB1, SMAD4","1/91"
"202","G6PD","BRAF",0.536470746605554,1.34239529410369,2618,75,1,26,1,"Co_Occurence","BRAF, G6PD","1/101"
"203","GJB2","ERCC2",0.538429939340925,1.329464505164,2630,43,1,46,1,"Co_Occurence","ERCC2, GJB2","1/89"
"204","PTEN","FBXW7",0.539734302015601,1.32610332146736,2626,33,1,60,1,"Co_Occurence","FBXW7, PTEN","1/93"
"205","PTEN","RB1",0.550187097092686,1.28662825878459,2625,34,1,60,1,"Co_Occurence","PTEN, RB1","1/94"
"206","CTNNB1","ATM",0.558290944508081,1.25633976521514,2626,38,1,55,1,"Co_Occurence","ATM, CTNNB1","1/93"
"207","CTNNB1","HRAS",0.558290944508081,1.25633976521514,2626,38,1,55,1,"Co_Occurence","CTNNB1, HRAS","1/93"
"208","ATP7B","BRAF",0.562269104087944,1.24560076163598,2616,75,1,28,1,"Co_Occurence","ATP7B, BRAF","1/103"
"209","BRCA1","CTRC",0.567970476157531,1.22766093344433,2609,25,1,85,1,"Co_Occurence","BRCA1, CTRC","1/110"
"210","SMAD4","NRAS",0.580409611847584,1.17985784693647,2623,39,1,57,1,"Co_Occurence","NRAS, SMAD4","1/96"
"211","PTEN","HRAS",0.58971325090933,1.14949730032829,2621,38,1,60,1,"Co_Occurence","HRAS, PTEN","1/98"
"212","TP53","RB1",0.59265620304191,1.24969106159481,1751,21,14,934,1,"Co_Occurence","RB1, TP53","14/955"
"213","PIK3CA","HRAS",0.592858157602011,1.28130702373211,2405,34,5,276,1,"Co_Occurence","HRAS, PIK3CA","5/310"
"214","NF1","CTNNB1",0.594075256497401,1.135007794151,2622,55,1,42,1,"Co_Occurence","CTNNB1, NF1","1/97"
"215","POLK","BRAF",0.598332117076615,1.12381917310733,2613,75,1,31,1,"Co_Occurence","BRAF, POLK","1/106"
"216","ERBB2","NRAS",0.599048383954661,1.11960824480047,2620,39,1,60,1,"Co_Occurence","ERBB2, NRAS","1/99"
"217","PTEN","NRAS",0.599048383954661,1.11960824480047,2620,39,1,60,1,"Co_Occurence","NRAS, PTEN","1/99"
"218","SMAD4","NF1",0.607076096168377,1.09435885555842,2620,42,1,57,1,"Co_Occurence","NF1, SMAD4","1/99"
"219","MAP3K1","BRAF",0.609688798290222,1.08828504586523,2612,75,1,32,1,"Co_Occurence","BRAF, MAP3K1","1/107"
"220","G6PD","CDKN2A",0.623313733835171,0,2594,99,0,27,1,"Mutually_Exclusive","CDKN2A, G6PD","0/126"
"221","IDH1","CDKN2A",0.623313733835171,0,2594,99,0,27,1,"Mutually_Exclusive","CDKN2A, IDH1","0/126"
"222","CDKN2A","MSH6",0.623577944196387,0,2593,28,0,99,1,"Mutually_Exclusive","CDKN2A, MSH6","0/127"
"223","POLK","BRCA1",0.624103906083469,0,2602,86,0,32,1,"Mutually_Exclusive","BRCA1, POLK","0/118"
"224","RB1","BRAF",0.624399770330874,0,2609,76,0,35,1,"Mutually_Exclusive","BRAF, RB1","0/111"
"225","CFTR","ERBB2",0.624839685269408,0,2615,61,0,44,1,"Mutually_Exclusive","CFTR, ERBB2","0/105"
"226","ERCC2","ERBB2",0.624839685269408,0,2615,61,0,44,1,"Mutually_Exclusive","ERBB2, ERCC2","0/105"
"227","GJB2","SMAD4",0.624920355708495,0,2615,58,0,47,1,"Mutually_Exclusive","GJB2, SMAD4","0/105"
"228","ERBB2","BRCA2",0.62496023388202,0,2616,43,0,61,1,"Mutually_Exclusive","BRCA2, ERBB2","0/104"
"229","GJB2","CTNNB1",0.625013570670752,0,2617,56,0,47,1,"Mutually_Exclusive","CTNNB1, GJB2","0/103"
"230","ROS1","CTNNB1",0.625013570670752,0,2617,56,0,47,1,"Mutually_Exclusive","CTNNB1, ROS1","0/103"
"231","ROS1","ERBB2",0.625625904299372,0,2612,61,0,47,1,"Mutually_Exclusive","ERBB2, ROS1","0/108"
"232","GJB2","PTEN",0.625625904299372,0,2612,61,0,47,1,"Mutually_Exclusive","GJB2, PTEN","0/108"
"233","ROS1","PTEN",0.625625904299372,0,2612,61,0,47,1,"Mutually_Exclusive","PTEN, ROS1","0/108"
"234","BRCA1","RB1",0.626659803066149,0,2599,35,0,86,1,"Mutually_Exclusive","BRCA1, RB1","0/121"
"235","NRAS","BRAF",0.627477635847145,0,2604,76,0,40,1,"Mutually_Exclusive","BRAF, NRAS","0/116"
"236","CDKN2A","POLK",0.629139933049352,0,2589,32,0,99,1,"Mutually_Exclusive","CDKN2A, POLK","0/131"
"237","CDKN2A","MAP3K1",0.631494025271206,0,2588,33,0,99,1,"Mutually_Exclusive","CDKN2A, MAP3K1","0/132"
"238","CTNNB1","SMAD4",0.63201088448067,0,2606,58,0,56,1,"Mutually_Exclusive","CTNNB1, SMAD4","0/114"
"239","HRAS","BRCA1",0.634248773609354,0,2595,86,0,39,1,"Mutually_Exclusive","BRCA1, HRAS","0/125"
"240","G6PD","APC",0.63500587394347,0,2566,127,0,27,1,"Mutually_Exclusive","APC, G6PD","0/154"
"241","IDH1","APC",0.63500587394347,0,2566,127,0,27,1,"Mutually_Exclusive","APC, IDH1","0/154"
"242","NRAS","BRCA1",0.636763862045308,0,2594,86,0,40,1,"Mutually_Exclusive","BRCA1, NRAS","0/126"
"243","RB1","CDKN2A",0.637154880620054,0,2586,99,0,35,1,"Mutually_Exclusive","CDKN2A, RB1","0/134"
"244","PTEN","SMAD4",0.640271248741827,0,2601,58,0,61,1,"Mutually_Exclusive","PTEN, SMAD4","0/119"
"245","CDKN2A","KMT2D",0.640409772193741,0,2585,36,0,99,1,"Mutually_Exclusive","CDKN2A, KMT2D","0/135"
"246","BRCA1","BRCA2",0.645522002113621,0,2591,43,0,86,1,"Mutually_Exclusive","BRCA1, BRCA2","0/129"
"247","BRCA1","GJB2",0.659487357003249,1.3696433459864,2589,45,2,84,1,"Co_Occurence","BRCA1, GJB2","2/129"
"248","BRCA1","ROS1",0.659487357003249,1.3696433459864,2589,45,2,84,1,"Co_Occurence","BRCA1, ROS1","2/129"
"249","APC","POLK",0.659638508825257,1.36674040452162,2563,30,2,125,1,"Co_Occurence","APC, POLK","2/155"
"250","SMAD4","PIK3CA",0.660693176755118,1.19613651469888,2388,274,7,51,1,"Co_Occurence","PIK3CA, SMAD4","7/325"
"251","PIK3CA","KRAS",0.662005400404258,0.907831970074265,2062,377,40,241,1,"Mutually_Exclusive","KRAS, PIK3CA","40/618"
"252","CDKN2A","BRCA2",0.669046547795683,1.29731879670639,2580,41,2,97,1,"Co_Occurence","BRCA2, CDKN2A","2/138"
"253","CDKN2A","ERCC2",0.673747305276323,1.26595354389215,2579,42,2,97,1,"Co_Occurence","CDKN2A, ERCC2","2/139"
"254","BRAF","PTEN",0.687702191946886,1.18406934468277,2585,59,2,74,1,"Co_Occurence","BRAF, PTEN","2/133"
"255","CDKN2A","ROS1",0.688418846486528,1.18021895774015,2576,45,2,97,1,"Co_Occurence","CDKN2A, ROS1","2/142"
"256","SMAD4","BRCA1",0.705701842622999,1.09603905260384,2578,84,2,56,1,"Co_Occurence","BRCA1, SMAD4","2/140"
"257","TP53","FBXW7",0.718290475674404,1.15923402842507,1751,21,13,935,1,"Co_Occurence","FBXW7, TP53","13/956"
"258","PTEN","BRCA1",0.719203084592212,1.03914360479409,2575,84,2,59,1,"Co_Occurence","BRCA1, PTEN","2/143"
"259","TP53","KMT2D",0.725221280956865,0.820445514295536,1747,25,11,937,1,"Mutually_Exclusive","KMT2D, TP53","11/962"
"260","PTEN","CDKN2A",0.725272223542634,0.435637659604241,2561,98,1,60,1,"Mutually_Exclusive","CDKN2A, PTEN","1/158"
"261","APC","SMAD4",0.7508789285591,1.11637256362389,2538,55,3,124,1,"Co_Occurence","APC, SMAD4","3/179"
"262","PIK3CA","ATP7B",0.762192760631174,0.640470806477971,2412,27,2,279,1,"Mutually_Exclusive","ATP7B, PIK3CA","2/306"
"263","FBXW7","PIK3CA",0.77432675138317,1.1594939364565,2409,277,4,30,1,"Co_Occurence","FBXW7, PIK3CA","4/307"
"264","KRAS","TP53",0.780172491300903,1.03367801813304,1503,800,148,269,1,"Co_Occurence","KRAS, TP53","148/1069"
"265","PIK3CA","KMT2D",0.783594157250216,1.08619025525677,2407,32,4,277,1,"Co_Occurence","KMT2D, PIK3CA","4/309"
"266","PIK3CA","NF1",0.798649288968592,1.14456859941152,2401,38,5,276,1,"Co_Occurence","NF1, PIK3CA","5/314"
"267","PIK3CA","ERCC2",0.801432246125171,1.11475451601721,2400,39,5,276,1,"Co_Occurence","ERCC2, PIK3CA","5/315"
"268","MAP3K1","KRAS",0.808520569095744,0.759526328129581,2274,413,4,29,1,"Mutually_Exclusive","KRAS, MAP3K1","4/442"
"269","PIK3CA","ROS1",0.812046037383694,1.03389644017254,2397,42,5,276,1,"Co_Occurence","PIK3CA, ROS1","5/318"
"270","ERBB2","PIK3CA",0.83044662683411,0.770971343664991,2383,276,5,56,1,"Mutually_Exclusive","ERBB2, PIK3CA","5/332"
"271","CFTR","CTNNB1",1,0,2620,56,0,44,1,"Mutually_Exclusive","CFTR, CTNNB1","0/100"
"272","G6PD","NRAS",1,0,2653,40,0,27,1,"Mutually_Exclusive","G6PD, NRAS","0/67"
"273","ATM","MSH6",1,0,2653,28,0,39,1,"Mutually_Exclusive","ATM, MSH6","0/67"
"274","HRAS","MSH6",1,0,2653,28,0,39,1,"Mutually_Exclusive","HRAS, MSH6","0/67"
"275","POLK","MSH6",1,0,2660,28,0,32,1,"Mutually_Exclusive","MSH6, POLK","0/60"
"276","ATM","PIK3CA",1,0.991854353121519,2404,277,4,35,1,"Mutually_Exclusive","ATM, PIK3CA","4/312"
"277","NF1","CDKN2A",1,0.62666065847916,2579,98,1,42,1,"Mutually_Exclusive","CDKN2A, NF1","1/140"
"278","CTNNB1","BRCA1",1,0.55174401944058,2579,85,1,55,1,"Mutually_Exclusive","BRCA1, CTNNB1","1/140"
"279","HRAS","BRAF",1,0.914414503567893,2606,75,1,38,1,"Mutually_Exclusive","BRAF, HRAS","1/113"
"280","IDH1","BRAF",1,0,2617,76,0,27,1,"Mutually_Exclusive","BRAF, IDH1","0/103"
"281","BRAF","ERBB2",1,0.574308180633164,2584,60,1,75,1,"Mutually_Exclusive","BRAF, ERBB2","1/135"
"282","RB1","ERBB2",1,0,2624,61,0,35,1,"Mutually_Exclusive","ERBB2, RB1","0/96"
"283","POLK","ERBB2",1,0,2627,61,0,32,1,"Mutually_Exclusive","ERBB2, POLK","0/93"
"284","G6PD","ERBB2",1,0,2632,61,0,27,1,"Mutually_Exclusive","ERBB2, G6PD","0/88"
"285","IDH1","ERBB2",1,0,2632,61,0,27,1,"Mutually_Exclusive","ERBB2, IDH1","0/88"
"286","BRCA2","PTEN",1,1.03849241461727,2617,60,1,42,1,"Co_Occurence","BRCA2, PTEN","1/102"
"287","NF1","PTEN",1,1.03849241461727,2617,60,1,42,1,"Co_Occurence","NF1, PTEN","1/102"
"288","IDH1","PTEN",1,0,2632,61,0,27,1,"Mutually_Exclusive","IDH1, PTEN","0/88"
"289","CFTR","SMAD4",1,0,2618,58,0,44,1,"Mutually_Exclusive","CFTR, SMAD4","0/102"
"290","ERCC2","SMAD4",1,0,2618,58,0,44,1,"Mutually_Exclusive","ERCC2, SMAD4","0/102"
"291","HRAS","SMAD4",1,0,2623,58,0,39,1,"Mutually_Exclusive","HRAS, SMAD4","0/97"
"292","KRAS","CTNNB1",1,0.918909995801899,2255,48,8,409,1,"Mutually_Exclusive","CTNNB1, KRAS","8/457"
"293","KMT2D","CTNNB1",1,0,2628,56,0,36,1,"Mutually_Exclusive","CTNNB1, KMT2D","0/92"
"294","ATP7B","CTNNB1",1,0,2635,56,0,29,1,"Mutually_Exclusive","ATP7B, CTNNB1","0/85"
"295","CTRC","ROS1",1,0,2647,47,0,26,1,"Mutually_Exclusive","CTRC, ROS1","0/73"
"296","ERCC2","CFTR",1,0,2632,44,0,44,1,"Mutually_Exclusive","CFTR, ERCC2","0/88"
"297","G6PD","CFTR",1,0,2649,44,0,27,1,"Mutually_Exclusive","CFTR, G6PD","0/71"
"298","ATP7B","ERCC2",1,0,2647,44,0,29,1,"Mutually_Exclusive","ATP7B, ERCC2","0/73"
"299","G6PD","ERCC2",1,0,2649,44,0,27,1,"Mutually_Exclusive","ERCC2, G6PD","0/71"
"300","IDH1","ERCC2",1,0,2649,44,0,27,1,"Mutually_Exclusive","ERCC2, IDH1","0/71"
"301","ERCC2","BRCA2",1,0,2633,43,0,44,1,"Mutually_Exclusive","BRCA2, ERCC2","0/87"
"302","HRAS","BRCA2",1,0,2638,43,0,39,1,"Mutually_Exclusive","BRCA2, HRAS","0/82"
"303","ATM","NF1",1,0,2638,43,0,39,1,"Mutually_Exclusive","ATM, NF1","0/82"
"304","HRAS","NF1",1,0,2638,43,0,39,1,"Mutually_Exclusive","HRAS, NF1","0/82"
"305","ATP7B","NF1",1,0,2648,43,0,29,1,"Mutually_Exclusive","ATP7B, NF1","0/72"
"306","CTNNB1","NRAS",1,0,2624,40,0,56,1,"Mutually_Exclusive","CTNNB1, NRAS","0/96"
"307","BRCA2","NRAS",1,0,2637,40,0,43,1,"Mutually_Exclusive","BRCA2, NRAS","0/83"
"308","FBXW7","NRAS",1,0,2646,40,0,34,1,"Mutually_Exclusive","FBXW7, NRAS","0/74"
"309","HRAS","ATM",1,0,2642,39,0,39,1,"Mutually_Exclusive","ATM, HRAS","0/78"
"310","NRAS","HRAS",1,0,2641,39,0,40,1,"Mutually_Exclusive","HRAS, NRAS","0/79"
"311","MAP3K1","KMT2D",1,0,2651,36,0,33,1,"Mutually_Exclusive","KMT2D, MAP3K1","0/69"
"312","G6PD","KMT2D",1,0,2657,36,0,27,1,"Mutually_Exclusive","G6PD, KMT2D","0/63"
"313","BRCA2","RB1",1,0,2642,35,0,43,1,"Mutually_Exclusive","BRCA2, RB1","0/78"
"314","NF1","RB1",1,0,2642,35,0,43,1,"Mutually_Exclusive","NF1, RB1","0/78"
"315","CDKN2A","FBXW7",1,0.800304326305549,2588,33,1,98,1,"Mutually_Exclusive","CDKN2A, FBXW7","1/131"
"316","G6PD","FBXW7",1,0,2659,34,0,27,1,"Mutually_Exclusive","FBXW7, G6PD","0/61"
"317","IDH1","FBXW7",1,0,2659,34,0,27,1,"Mutually_Exclusive","FBXW7, IDH1","0/61"
"318","ERBB2","MAP3K1",1,0,2626,33,0,61,1,"Mutually_Exclusive","ERBB2, MAP3K1","0/94"
"319","PTEN","MAP3K1",1,0,2626,33,0,61,1,"Mutually_Exclusive","MAP3K1, PTEN","0/94"
"320","SMAD4","MAP3K1",1,0,2629,33,0,58,1,"Mutually_Exclusive","MAP3K1, SMAD4","0/91"
"321","GJB2","MAP3K1",1,0,2640,33,0,47,1,"Mutually_Exclusive","GJB2, MAP3K1","0/80"
"322","POLK","MAP3K1",1,0,2655,33,0,32,1,"Mutually_Exclusive","MAP3K1, POLK","0/65"
"323","FBXW7","POLK",1,0,2654,32,0,34,1,"Mutually_Exclusive","FBXW7, POLK","0/66"
"324","PTEN","ATP7B",1,0,2630,29,0,61,1,"Mutually_Exclusive","ATP7B, PTEN","0/90"
"325","NRAS","MSH6",1,0,2652,28,0,40,1,"Mutually_Exclusive","MSH6, NRAS","0/68"
"326","CTRC","MSH6",1,0,2666,28,0,26,1,"Mutually_Exclusive","CTRC, MSH6","0/54"
"327","MSH6","G6PD",1,0,2665,27,0,28,1,"Mutually_Exclusive","G6PD, MSH6","0/55"
"328","CTRC","G6PD",1,0,2667,27,0,26,1,"Mutually_Exclusive","CTRC, G6PD","0/53"
"329","PIK3CA","IDH1",1,0.692267691741974,2414,25,2,279,1,"Mutually_Exclusive","IDH1, PIK3CA","2/304"
"330","SMAD4","IDH1",1,0,2635,27,0,58,1,"Mutually_Exclusive","IDH1, SMAD4","0/85"
"331","POLK","IDH1",1,0,2661,27,0,32,1,"Mutually_Exclusive","IDH1, POLK","0/59"
"332","CTRC","IDH1",1,0,2667,27,0,26,1,"Mutually_Exclusive","CTRC, IDH1","0/53"
"333","BRAF","CTRC",1,0,2618,26,0,76,1,"Mutually_Exclusive","BRAF, CTRC","0/102"
"334","CTNNB1","CTRC",1,0,2638,26,0,56,1,"Mutually_Exclusive","CTNNB1, CTRC","0/82"
"335","MSH6","TP53",1,1.03881359045249,1754,938,10,18,1,"Co_Occurence","MSH6, TP53","10/956"
"336","G6PD","TP53",1,0.933990703641534,1754,939,9,18,1,"Mutually_Exclusive","G6PD, TP53","9/957"
"337","CTRC","TP53",1,0.989479360393467,1755,939,9,17,1,"Mutually_Exclusive","CTRC, TP53","9/956"
"338","GJB2","KRAS",1,0.965922088403828,2263,410,7,40,1,"Mutually_Exclusive","GJB2, KRAS","7/450"
"339","BRCA2","PIK3CA",1,0.888664368557086,2400,277,4,39,1,"Mutually_Exclusive","BRCA2, PIK3CA","4/316"
"340","CTRC","PIK3CA",1,0.721406136740165,2415,279,2,24,1,"Mutually_Exclusive","CTRC, PIK3CA","2/303"
"341","GJB2","APC",1,0.905985591984197,2548,125,2,45,1,"Mutually_Exclusive","APC, GJB2","2/170"
"342","ROS1","APC",1,0.905985591984197,2548,125,2,45,1,"Mutually_Exclusive","APC, ROS1","2/170"
"343","NRAS","APC",1,0.519821585529989,2554,126,1,39,1,"Mutually_Exclusive","APC, NRAS","1/165"
"344","RB1","APC",1,0.597418971830002,2559,126,1,34,1,"Mutually_Exclusive","APC, RB1","1/160"
"345","MAP3K1","APC",1,0.635246277620439,2561,126,1,32,1,"Mutually_Exclusive","APC, MAP3K1","1/158"
"346","CTRC","APC",1,0.815290594714916,2568,126,1,25,1,"Mutually_Exclusive","APC, CTRC","1/151"
"347","BRAF","CDKN2A",1,0.709737061542105,2547,97,2,74,1,"Mutually_Exclusive","BRAF, CDKN2A","2/171"
"348","CFTR","CDKN2A",1,0.611852819310239,2578,98,1,43,1,"Mutually_Exclusive","CDKN2A, CFTR","1/141"
"349","NRAS","CDKN2A",1,0.675639314718847,2582,98,1,39,1,"Mutually_Exclusive","CDKN2A, NRAS","1/137"
"350","ERCC2","BRCA1",1,0.708965257728433,2591,85,1,43,1,"Mutually_Exclusive","BRCA1, ERCC2","1/128"
"351","NF1","BRCA1",1,0.726121233564721,2592,85,1,42,1,"Mutually_Exclusive","BRCA1, NF1","1/127"
"352","KMT2D","BRCA1",1,0.873653421258808,2599,85,1,35,1,"Mutually_Exclusive","BRCA1, KMT2D","1/120"
"353","FBXW7","BRCA1",1,0.927297299741108,2601,85,1,33,1,"Mutually_Exclusive","BRCA1, FBXW7","1/118"
"354","MAP3K1","BRCA1",1,0.956632822582199,2602,85,1,32,1,"Mutually_Exclusive","BRCA1, MAP3K1","1/117"
"355","ATP7B","BRCA1",1,0,2605,86,0,29,1,"Mutually_Exclusive","ATP7B, BRCA1","0/115"
"356","MSH6","BRCA1",1,0,2606,86,0,28,1,"Mutually_Exclusive","BRCA1, MSH6","0/114"
"357","IDH1","BRCA1",1,0,2607,86,0,27,1,"Mutually_Exclusive","BRCA1, IDH1","0/113"
"358","ROS1","BRAF",1,0.753110202818876,2598,75,1,46,1,"Mutually_Exclusive","BRAF, ROS1","1/121"
"359","NF1","BRAF",1,0.826083682106327,2602,75,1,42,1,"Mutually_Exclusive","BRAF, NF1","1/117"
"360","KMT2D","BRAF",1,0.993906987789069,2609,75,1,35,1,"Mutually_Exclusive","BRAF, KMT2D","1/110"
"361","GJB2","ERBB2",1,0.946757593040931,2613,60,1,46,1,"Mutually_Exclusive","ERBB2, GJB2","1/106"
"362","HRAS","ERBB2",1,0,2620,61,0,39,1,"Mutually_Exclusive","ERBB2, HRAS","0/100"
"363","CTRC","ERBB2",1,0,2633,61,0,26,1,"Mutually_Exclusive","CTRC, ERBB2","0/87"
"364","ERCC2","PTEN",1,1.01395052800646,2616,60,1,43,1,"Co_Occurence","ERCC2, PTEN","1/103"
"365","KMT2D","SMAD4",1,0,2626,58,0,36,1,"Mutually_Exclusive","KMT2D, SMAD4","0/94"
"366","POLK","SMAD4",1,0,2630,58,0,32,1,"Mutually_Exclusive","POLK, SMAD4","0/90"
"367","ATP7B","SMAD4",1,0,2633,58,0,29,1,"Mutually_Exclusive","ATP7B, SMAD4","0/87"
"368","BRCA2","CTNNB1",1,0,2621,56,0,43,1,"Mutually_Exclusive","BRCA2, CTNNB1","0/99"
"369","RB1","CTNNB1",1,0,2629,56,0,35,1,"Mutually_Exclusive","CTNNB1, RB1","0/91"
"370","MAP3K1","CTNNB1",1,0,2631,56,0,33,1,"Mutually_Exclusive","CTNNB1, MAP3K1","0/89"
"371","G6PD","CTNNB1",1,0,2637,56,0,27,1,"Mutually_Exclusive","CTNNB1, G6PD","0/83"
"372","IDH1","CTNNB1",1,0,2637,56,0,27,1,"Mutually_Exclusive","CTNNB1, IDH1","0/83"
"373","ROS1","GJB2",1,0,2626,47,0,47,1,"Mutually_Exclusive","GJB2, ROS1","0/94"
"374","CFTR","GJB2",1,0,2629,47,0,44,1,"Mutually_Exclusive","CFTR, GJB2","0/91"
"375","BRCA2","GJB2",1,0,2630,47,0,43,1,"Mutually_Exclusive","BRCA2, GJB2","0/90"
"376","NRAS","GJB2",1,0,2633,47,0,40,1,"Mutually_Exclusive","GJB2, NRAS","0/87"
"377","ATM","GJB2",1,0,2634,47,0,39,1,"Mutually_Exclusive","ATM, GJB2","0/86"
"378","FBXW7","GJB2",1,0,2639,47,0,34,1,"Mutually_Exclusive","FBXW7, GJB2","0/81"
"379","ATP7B","GJB2",1,0,2644,47,0,29,1,"Mutually_Exclusive","ATP7B, GJB2","0/76"
"380","IDH1","GJB2",1,0,2646,47,0,27,1,"Mutually_Exclusive","GJB2, IDH1","0/74"
"381","ERCC2","ROS1",1,0,2629,47,0,44,1,"Mutually_Exclusive","ERCC2, ROS1","0/91"
"382","BRCA2","ROS1",1,0,2630,47,0,43,1,"Mutually_Exclusive","BRCA2, ROS1","0/90"
"383","KMT2D","ROS1",1,0,2637,47,0,36,1,"Mutually_Exclusive","KMT2D, ROS1","0/83"
"384","RB1","ROS1",1,0,2638,47,0,35,1,"Mutually_Exclusive","RB1, ROS1","0/82"
"385","POLK","ROS1",1,0,2641,47,0,32,1,"Mutually_Exclusive","POLK, ROS1","0/79"
"386","ATP7B","ROS1",1,0,2644,47,0,29,1,"Mutually_Exclusive","ATP7B, ROS1","0/76"
"387","MSH6","ROS1",1,0,2645,47,0,28,1,"Mutually_Exclusive","MSH6, ROS1","0/75"
"388","G6PD","ROS1",1,0,2646,47,0,27,1,"Mutually_Exclusive","G6PD, ROS1","0/74"
"389","IDH1","ROS1",1,0,2646,47,0,27,1,"Mutually_Exclusive","IDH1, ROS1","0/74"
"390","ATM","CFTR",1,0,2637,44,0,39,1,"Mutually_Exclusive","ATM, CFTR","0/83"
"391","KMT2D","CFTR",1,0,2640,44,0,36,1,"Mutually_Exclusive","CFTR, KMT2D","0/80"
"392","FBXW7","CFTR",1,0,2642,44,0,34,1,"Mutually_Exclusive","CFTR, FBXW7","0/78"
"393","POLK","CFTR",1,0,2644,44,0,32,1,"Mutually_Exclusive","CFTR, POLK","0/76"
"394","CTRC","CFTR",1,0,2650,44,0,26,1,"Mutually_Exclusive","CFTR, CTRC","0/70"
"395","NRAS","ERCC2",1,0,2636,44,0,40,1,"Mutually_Exclusive","ERCC2, NRAS","0/84"
"396","HRAS","ERCC2",1,0,2637,44,0,39,1,"Mutually_Exclusive","ERCC2, HRAS","0/83"
"397","KMT2D","ERCC2",1,0,2640,44,0,36,1,"Mutually_Exclusive","ERCC2, KMT2D","0/80"
"398","MAP3K1","ERCC2",1,0,2643,44,0,33,1,"Mutually_Exclusive","ERCC2, MAP3K1","0/77"
"399","MSH6","ERCC2",1,0,2648,44,0,28,1,"Mutually_Exclusive","ERCC2, MSH6","0/72"
"400","CTRC","ERCC2",1,0,2650,44,0,26,1,"Mutually_Exclusive","CTRC, ERCC2","0/70"
"401","NF1","BRCA2",1,0,2634,43,0,43,1,"Mutually_Exclusive","BRCA2, NF1","0/86"
"402","MAP3K1","BRCA2",1,0,2644,43,0,33,1,"Mutually_Exclusive","BRCA2, MAP3K1","0/76"
"403","POLK","BRCA2",1,0,2645,43,0,32,1,"Mutually_Exclusive","BRCA2, POLK","0/75"
"404","POLK","NF1",1,0,2645,43,0,32,1,"Mutually_Exclusive","NF1, POLK","0/75"
"405","G6PD","NF1",1,0,2650,43,0,27,1,"Mutually_Exclusive","G6PD, NF1","0/70"
"406","IDH1","NF1",1,0,2650,43,0,27,1,"Mutually_Exclusive","IDH1, NF1","0/70"
"407","KMT2D","NRAS",1,0,2644,40,0,36,1,"Mutually_Exclusive","KMT2D, NRAS","0/76"
"408","RB1","NRAS",1,0,2645,40,0,35,1,"Mutually_Exclusive","NRAS, RB1","0/75"
"409","CTRC","NRAS",1,0,2654,40,0,26,1,"Mutually_Exclusive","CTRC, NRAS","0/66"
"410","KMT2D","ATM",1,0,2645,39,0,36,1,"Mutually_Exclusive","ATM, KMT2D","0/75"
"411","FBXW7","ATM",1,0,2647,39,0,34,1,"Mutually_Exclusive","ATM, FBXW7","0/73"
"412","MAP3K1","ATM",1,0,2648,39,0,33,1,"Mutually_Exclusive","ATM, MAP3K1","0/72"
"413","IDH1","ATM",1,0,2654,39,0,27,1,"Mutually_Exclusive","ATM, IDH1","0/66"
"414","FBXW7","HRAS",1,0,2647,39,0,34,1,"Mutually_Exclusive","FBXW7, HRAS","0/73"
"415","MAP3K1","HRAS",1,0,2648,39,0,33,1,"Mutually_Exclusive","HRAS, MAP3K1","0/72"
"416","POLK","HRAS",1,0,2649,39,0,32,1,"Mutually_Exclusive","HRAS, POLK","0/71"
"417","G6PD","HRAS",1,0,2654,39,0,27,1,"Mutually_Exclusive","G6PD, HRAS","0/66"
"418","IDH1","HRAS",1,0,2654,39,0,27,1,"Mutually_Exclusive","HRAS, IDH1","0/66"
"419","CTRC","HRAS",1,0,2655,39,0,26,1,"Mutually_Exclusive","CTRC, HRAS","0/65"
"420","CTRC","KMT2D",1,0,2658,36,0,26,1,"Mutually_Exclusive","CTRC, KMT2D","0/62"
"421","FBXW7","RB1",1,0,2651,35,0,34,1,"Mutually_Exclusive","FBXW7, RB1","0/69"
"422","MAP3K1","RB1",1,0,2652,35,0,33,1,"Mutually_Exclusive","MAP3K1, RB1","0/68"
"423","POLK","RB1",1,0,2653,35,0,32,1,"Mutually_Exclusive","POLK, RB1","0/67"
"424","ATP7B","RB1",1,0,2656,35,0,29,1,"Mutually_Exclusive","ATP7B, RB1","0/64"
"425","MSH6","RB1",1,0,2657,35,0,28,1,"Mutually_Exclusive","MSH6, RB1","0/63"
"426","G6PD","RB1",1,0,2658,35,0,27,1,"Mutually_Exclusive","G6PD, RB1","0/62"
"427","IDH1","RB1",1,0,2658,35,0,27,1,"Mutually_Exclusive","IDH1, RB1","0/62"
"428","CTRC","RB1",1,0,2659,35,0,26,1,"Mutually_Exclusive","CTRC, RB1","0/61"
"429","MAP3K1","FBXW7",1,0,2653,34,0,33,1,"Mutually_Exclusive","FBXW7, MAP3K1","0/67"
"430","CTRC","FBXW7",1,0,2660,34,0,26,1,"Mutually_Exclusive","CTRC, FBXW7","0/60"
"431","MSH6","MAP3K1",1,0,2659,33,0,28,1,"Mutually_Exclusive","MAP3K1, MSH6","0/61"
"432","G6PD","MAP3K1",1,0,2660,33,0,27,1,"Mutually_Exclusive","G6PD, MAP3K1","0/60"
"433","G6PD","ATP7B",1,0,2664,29,0,27,1,"Mutually_Exclusive","ATP7B, G6PD","0/56"
