Main_AA,Sub_AA,Rlab_PTSCwScore
Proline,Isoleucine,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m3
Proline,Leucine,APT_DF:m3|ICP_DF:m2|ECP_N:0|MEP_DF:m1
Proline,Lysine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m4
Proline,Methionine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m3
Proline,Phenylalanine,APT_DF:m4|ICP_DF:m2|ECP_DF:m2|MEP_DF:m4
Proline,Proline,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:4
Proline,Serine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m1
Proline,Threonine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m1
Proline,Tryptophan,APT_DF:m4|ICP_DF:m2|ECP_DF:m3|MEP_DF:m6
Proline,Tyrosine,APT_DF:m3|ICP_DF:m1|ECP_DF:m1|MEP_DF:m5
Proline,Valine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m3
Serine,Alanine,APT_F:1|ICP_N:0|ECP_N:0|MEP_F:2
Serine,Arginine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m1
Serine,Asparagine,APT_F:1|ICP_N:0|ECP_N:0|MEP_F:2
Serine,Aspartic acid,APT_N:0|ICP_N:0|ECP_N:0|MEP_N:0
Serine,Cysteine,APT_DF:m1|ICP_N:0|ECP_DF:m5|MEP_F:1
Serine,Glutamine,APT_N:0|ICP_N:0|ECP_N:0|MEP_DF:m1
Serine,Glutamic acid,APT_N:0|ICP_N:0|ECP_N:0|MEP_N:0
Serine,Glycine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:1
Serine,Histidine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m2
Serine,Isoleucine,APT_DF:m2|ICP_DF:m2|ECP_DF:m1|MEP_DF:m1
Serine,Leucine,APT_DF:m2|ICP_DF:m2|ECP_DF:m1|MEP_DF:m2
Serine,Lysine,APT_N:0|ICP_N:0|ECP_N:0|MEP_DF:m1
Serine,Methionine,APT_DF:m1|ICP_DF:m1|ECP_DF:m1|MEP_DF:m2
Serine,Phenylalanine,APT_DF:m2|ICP_DF:m2|ECP_DF:m2|MEP_DF:m1
Serine,Proline,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m1
Serine,Serine,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:4
Serine,Threonine,APT_F:1|ICP_N:0|ECP_F:1|MEP_F:2
Serine,Tryptophan,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m3
Serine,Tyrosine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_N:0
Serine,Valine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m1
Threonine,Alanine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:1
Threonine,Arginine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m1
Threonine,Asparagine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:1
Threonine,Aspartic acid,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_N:0
Threonine,Cysteine,APT_DF:m1|ICP_N:0|ECP_DF:m5|MEP_N:0
Threonine,Glutamine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m2
Threonine,Glutamic acid,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m1
Threonine,Glycine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_N:0
Threonine,Histidine,APT_DF:m2|ICP_N:0|ECP_N:0|MEP_DF:m2
Threonine,Isoleucine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_N:0
Threonine,Leucine,APT_DF:m1|ICP_DF:m1|ECP_N:0|MEP_DF:m1
Threonine,Lysine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m2
Threonine,Methionine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_N:0
Threonine,Phenylalanine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m2
Threonine,Proline,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m1
Threonine,Serine,APT_F:1|ICP_N:0|ECP_F:1|MEP_F:2
Threonine,Threonine,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:4
Threonine,Tryptophan,APT_DF:m2|ICP_DF:m2|ECP_DF:m1|MEP_DF:m4
Threonine,Tyrosine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m3
Threonine,Valine,APT_N:0|ICP_N:0|ECP_N:0|MEP_N:0
Tryptophan,Alanine,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m3
Tryptophan,Arginine,APT_DF:m3|ICP_DF:m1|ECP_DF:m1|MEP_F:5
Tryptophan,Asparagine,APT_DF:m4|ICP_DF:m2|ECP_DF:m3|MEP_DF:m3
Tryptophan,Aspartic acid,APT_DF:m4|ICP_DF:m2|ECP_DF:m3|MEP_DF:m4
Tryptophan,Cysteine,APT_DF:m2|ICP_DF:m1|ECP_DF:m5|MEP_F:1
Tryptophan,Glutamine,APT_DF:m2|ICP_DF:m2|ECP_DF:m1|MEP_N:0
Tryptophan,Glutamic acid,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m3
Tryptophan,Glycine,APT_DF:m2|ICP_DF:m2|ECP_DF:m2|MEP_DF:m2
Tryptophan,Histidine,APT_DF:m2|ICP_N:0|ECP_DF:m1|MEP_DF:m1
Tryptophan,Isoleucine,APT_DF:m3|ICP_DF:m1|ECP_DF:m1|MEP_DF:m3
Tryptophan,Leucine,APT_DF:m2|ICP_N:0|ECP_DF:m2|MEP_DF:m2
Tryptophan,Lysine,APT_DF:m3|ICP_DF:m1|ECP_DF:m2|MEP_F:3
Tryptophan,Methionine,APT_DF:m1|ICP_N:0|ECP_DF:m1|MEP_DF:m2
Tryptophan,Phenylalanine,APT_F:1|ICP_F:1|ECP_F:1|MEP_DF:m3
Tryptophan,Proline,APT_DF:m4|ICP_DF:m2|ECP_DF:m3|MEP_DF:m6
Tryptophan,Serine,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m3
Tryptophan,Threonine,APT_DF:m2|ICP_DF:m2|ECP_DF:m1|MEP_DF:m4
Tryptophan,Tryptophan,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:7
Tryptophan,Tyrosine,APT_F:2|ICP_F:2|ECP_F:1|MEP_DF:m3
Tryptophan,Valine,APT_DF:m3|ICP_DF:m1|ECP_DF:m1|MEP_DF:m2
Tyrosine,Alanine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m3
Tyrosine,Arginine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m1
Tyrosine,Asparagine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m1
Tyrosine,Aspartic acid,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m2
Tyrosine,Cysteine,APT_DF:m2|ICP_N:0|ECP_DF:m4|MEP_F:3
Tyrosine,Glutamine,APT_DF:m1|ICP_DF:m1|ECP_DF:m1|MEP_N:0
Tyrosine,Glutamic acid,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m5
Tyrosine,Glycine,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m5
Tyrosine,Histidine,APT_F:2|ICP_F:1|ECP_N:0|MEP_F:6
Tyrosine,Isoleucine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m4
Tyrosine,Leucine,APT_DF:m1|ICP_N:0|ECP_DF:m1|MEP_DF:m2
Tyrosine,Lysine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_F:1
Tyrosine,Methionine,APT_DF:m1|ICP_N:0|ECP_DF:m1|MEP_DF:m3
Tyrosine,Phenylalanine,APT_F:3|ICP_F:2|ECP_F:2|MEP_F:2
Tyrosine,Proline,APT_DF:m3|ICP_DF:m1|ECP_DF:m1|MEP_DF:m5
Tyrosine,Serine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_N:0
Tyrosine,Threonine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m3
Tyrosine,Tryptophan,APT_F:2|ICP_F:2|ECP_F:1|MEP_DF:m3
Tyrosine,Tyrosine,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:7
Tyrosine,Valine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m4
Valine,Alanine,APT_N:0|ICP_N:0|ECP_N:0|MEP_N:0
Valine,Arginine,APT_DF:m3|ICP_DF:m1|ECP_N:0|MEP_DF:m2
Valine,Asparagine,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m3
Valine,Aspartic acid,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m3
Valine,Cysteine,APT_DF:m1|ICP_N:0|ECP_DF:m4|MEP_N:0
Valine,Glutamine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m4
Valine,Glutamic acid,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m2
Valine,Glycine,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m1
Valine,Histidine,APT_DF:m3|ICP_DF:m1|ECP_DF:m1|MEP_DF:m4
Valine,Isoleucine,APT_F:3|ICP_F:2|ECP_F:2|MEP_F:2
Valine,Leucine,APT_F:1|ICP_F:1|ECP_F:1|MEP_N:0
Valine,Lysine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m4
Valine,Methionine,APT_F:1|ICP_N:0|ECP_N:0|MEP_F:1
Valine,Phenylalanine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m1
Valine,Proline,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m3
Valine,Serine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m1
Valine,Threonine,APT_N:0|ICP_N:0|ECP_N:0|MEP_N:0
Valine,Tryptophan,APT_DF:m3|ICP_DF:m1|ECP_DF:m1|MEP_DF:m2
Valine,Tyrosine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m4
Valine,Valine,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:4
